   6.5100000e+02   4.0000000e-03   1.0000000e-07
  -3.4708070e-01  -6.9740149e+00   1.0532900e+04   0.0000000e+00
  -3.4609780e-01  -6.9439763e+00   1.0534400e+04   0.0000000e+00
  -3.4511480e-01  -6.9186363e+00   1.0535900e+04   0.0000000e+00
  -3.4413190e-01  -6.8919683e+00   1.0537400e+04   0.0000000e+00
  -3.4312740e-01  -6.8664230e+00   1.0538900e+04   0.0000000e+00
  -3.4212290e-01  -6.8384475e+00   1.0539600e+04   0.0000000e+00
  -3.4115070e-01  -6.8072535e+00   1.0541100e+04   0.0000000e+00
  -3.4014620e-01  -6.7738016e+00   1.0541900e+04   0.0000000e+00
  -3.3914170e-01  -6.7491313e+00   1.0543400e+04   0.0000000e+00
  -3.3818040e-01  -6.7225275e+00   1.0544900e+04   0.0000000e+00
  -3.3716500e-01  -6.6954380e+00   1.0545600e+04   0.0000000e+00
  -3.3617130e-01  -6.6690719e+00   1.0547100e+04   0.0000000e+00
  -3.3519920e-01  -6.6407723e+00   1.0548600e+04   0.0000000e+00
  -3.3419470e-01  -6.6089407e+00   1.0550100e+04   0.0000000e+00
  -3.3319010e-01  -6.5867874e+00   1.0550800e+04   0.0000000e+00
  -3.3221800e-01  -6.5553014e+00   1.0551600e+04   0.0000000e+00
  -3.3123510e-01  -6.5321973e+00   1.0553800e+04   0.0000000e+00
  -3.3024140e-01  -6.5029472e+00   1.0555300e+04   0.0000000e+00
  -3.2923680e-01  -6.4699709e+00   1.0557500e+04   0.0000000e+00
  -3.2823230e-01  -6.4411853e+00   1.0559000e+04   0.0000000e+00
  -3.2726020e-01  -6.4185780e+00   1.0561200e+04   0.0000000e+00
  -3.2626650e-01  -6.3900300e+00   1.0562700e+04   0.0000000e+00
  -3.2526190e-01  -6.3581122e+00   1.0564200e+04   0.0000000e+00
  -3.2430060e-01  -6.3312816e+00   1.0565700e+04   0.0000000e+00
  -3.2330690e-01  -6.3015886e+00   1.0567200e+04   0.0000000e+00
  -3.2230240e-01  -6.2730841e+00   1.0568700e+04   0.0000000e+00
  -3.2129780e-01  -6.2462967e+00   1.0570200e+04   0.0000000e+00
  -3.2032570e-01  -6.2166038e+00   1.0571700e+04   0.0000000e+00
  -3.1933200e-01  -6.1869216e+00   1.0573200e+04   0.0000000e+00
  -3.1833830e-01  -6.1584064e+00   1.0575400e+04   0.0000000e+00
  -3.1733370e-01  -6.1301392e+00   1.0576900e+04   0.0000000e+00
  -3.1636160e-01  -6.1070567e+00   1.0578400e+04   0.0000000e+00
  -3.1535710e-01  -6.0752899e+00   1.0580600e+04   0.0000000e+00
  -3.1435260e-01  -6.0445171e+00   1.0582900e+04   0.0000000e+00
  -3.1339120e-01  -6.0155370e+00   1.0583600e+04   0.0000000e+00
  -3.1238670e-01  -5.9892249e+00   1.0585800e+04   0.0000000e+00
  -3.1139300e-01  -5.9643821e+00   1.0588100e+04   0.0000000e+00
  -3.1039930e-01  -5.9359637e+00   1.0589600e+04   0.0000000e+00
  -3.0941630e-01  -5.9046289e+00   1.0591000e+04   0.0000000e+00
  -3.0841180e-01  -5.8781008e+00   1.0592500e+04   0.0000000e+00
  -3.0742890e-01  -5.8474143e+00   1.0594800e+04   0.0000000e+00
  -3.0641350e-01  -5.8220527e+00   1.0596300e+04   0.0000000e+00
  -3.0544140e-01  -5.7959998e+00   1.0597800e+04   0.0000000e+00
