   3.3000000e+01   4.0000000e-03   1.0000000e-09
  -1.3886260e-01  -5.8845890e-01   2.4819600e+04   0.0000000e+00
  -1.3391550e-01  -4.2060580e-01   2.4822500e+04   0.0000000e+00
  -1.2895770e-01  -2.7803840e-01   2.4822500e+04   0.0000000e+00
  -1.2397830e-01  -1.8356940e-01   2.4822500e+04   0.0000000e+00
  -1.1904210e-01  -1.1992780e-01   2.4822500e+04   0.0000000e+00
  -1.1405180e-01  -7.4324200e-02   2.4822500e+04   0.0000000e+00
  -1.0912640e-01  -4.2665400e-02   2.4822500e+04   0.0000000e+00
  -1.0414700e-01  -2.2801700e-02   2.4825500e+04   0.0000000e+00
  -9.9167500e-02  -9.3540000e-03   2.4825500e+04   0.0000000e+00
  -9.4231100e-02  -3.2404000e-03   2.4825500e+04   0.0000000e+00
  -8.9262500e-02   2.8080000e-04   2.4825500e+04   0.0000000e+00
  -8.4315500e-02   1.4042000e-03   2.4825500e+04   0.0000000e+00
  -7.9368400e-02   3.0892000e-03   2.4828500e+04   0.0000000e+00
  -7.4378200e-02   3.3268000e-03   2.4831500e+04   0.0000000e+00
  -6.9420400e-02   4.3638000e-03   2.4831500e+04   0.0000000e+00
  -6.4473400e-02   4.9254000e-03   2.4831500e+04   0.0000000e+00
  -5.9504700e-02   3.9533000e-03   2.4831500e+04   0.0000000e+00
  -5.4568500e-02   5.6923000e-03   2.4831500e+04   0.0000000e+00
  -4.9599900e-02   4.8822000e-03   2.4831500e+04   0.0000000e+00
  -4.4652800e-02   6.5564000e-03   2.4834500e+04   0.0000000e+00
  -3.9684200e-02   5.8651000e-03   2.4834500e+04   0.0000000e+00
  -3.4726400e-02   7.0857000e-03   2.4837400e+04   0.0000000e+00
  -2.9768600e-02   6.8373000e-03   2.4837400e+04   0.0000000e+00
  -2.4799900e-02   8.2954000e-03   2.4840400e+04   0.0000000e+00
  -1.9842100e-02   9.6780000e-03   2.4840400e+04   0.0000000e+00
  -1.4884300e-02   1.0855400e-02   2.4843400e+04   0.0000000e+00
  -9.9373000e-03   1.8545900e-02   2.4840400e+04   0.0000000e+00
  -4.9578000e-03   2.9368900e-02   2.4840400e+04   0.0000000e+00
  -2.1600000e-05   4.6813100e-02   2.4843400e+04   0.0000000e+00
   4.9470000e-03   7.4583400e-02   2.4843400e+04   0.0000000e+00
   9.9157000e-03   1.0972030e-01   2.4843400e+04   0.0000000e+00
   1.4873500e-02   1.3793340e-01   2.4846400e+04   0.0000000e+00
   1.9809700e-02   1.9320400e-01   2.4846400e+04   0.0000000e+00
