   4.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9172820e-01  -6.2763029e+00   2.4903000e+04   0.0000000e+00
  -9.8677040e-01  -6.2434236e+00   2.4906000e+04   0.0000000e+00
  -9.8186660e-01  -6.2107278e+00   2.4909000e+04   0.0000000e+00
  -9.7687630e-01  -6.1778057e+00   2.4911900e+04   0.0000000e+00
  -9.7192930e-01  -6.1446347e+00   2.4914900e+04   0.0000000e+00
  -9.6700390e-01  -6.1111180e+00   2.4917900e+04   0.0000000e+00
  -9.6205690e-01  -6.0769857e+00   2.4920900e+04   0.0000000e+00
  -9.5710980e-01  -6.0431021e+00   2.4920900e+04   0.0000000e+00
  -9.5222760e-01  -6.0093154e+00   2.4923900e+04   0.0000000e+00
  -9.4732380e-01  -5.9745026e+00   2.4926800e+04   0.0000000e+00
  -9.4236600e-01  -5.9397874e+00   2.4926800e+04   0.0000000e+00
  -9.3742970e-01  -5.9055902e+00   2.4926800e+04   0.0000000e+00
  -9.3216960e-01  -5.8689736e+00   2.4926800e+04   0.0000000e+00
  -9.2721180e-01  -5.8338478e+00   2.4929800e+04   0.0000000e+00
  -9.2230790e-01  -5.7992186e+00   2.4929800e+04   0.0000000e+00
  -9.1736090e-01  -5.7643410e+00   2.4929800e+04   0.0000000e+00
  -9.1244630e-01  -5.7305113e+00   2.4929800e+04   0.0000000e+00
  -9.0749930e-01  -5.6955257e+00   2.4929800e+04   0.0000000e+00
  -9.0256300e-01  -5.6623223e+00   2.4929800e+04   0.0000000e+00
  -8.9763760e-01  -5.6280930e+00   2.4932800e+04   0.0000000e+00
  -8.9274460e-01  -5.5943388e+00   2.4932800e+04   0.0000000e+00
  -8.8781920e-01  -5.5598176e+00   2.4932800e+04   0.0000000e+00
  -8.8286130e-01  -5.5255019e+00   2.4935800e+04   0.0000000e+00
  -8.7792510e-01  -5.4918232e+00   2.4932800e+04   0.0000000e+00
  -8.7263250e-01  -5.4556926e+00   2.4932800e+04   0.0000000e+00
  -8.6778260e-01  -5.4232885e+00   2.4935800e+04   0.0000000e+00
