   2.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9159860e-01  -2.5294329e+00   2.2950900e+04   0.0000000e+00
  -9.8173700e-01  -2.5020405e+00   2.2953800e+04   0.0000000e+00
  -9.7181050e-01  -2.4736113e+00   2.2953800e+04   0.0000000e+00
  -9.6193800e-01  -2.4460246e+00   2.2953800e+04   0.0000000e+00
  -9.5209800e-01  -2.4186108e+00   2.2956800e+04   0.0000000e+00
  -9.4224720e-01  -2.3909486e+00   2.2956800e+04   0.0000000e+00
  -9.3206160e-01  -2.3622601e+00   2.2956800e+04   0.0000000e+00
  -9.2219990e-01  -2.3346842e+00   2.2959800e+04   0.0000000e+00
  -9.1233830e-01  -2.3070760e+00   2.2959800e+04   0.0000000e+00
  -9.0245500e-01  -2.2794354e+00   2.2962800e+04   0.0000000e+00
  -8.9260420e-01  -2.2518163e+00   2.2962800e+04   0.0000000e+00
  -8.8274250e-01  -2.2243916e+00   2.2962800e+04   0.0000000e+00
  -8.7254600e-01  -2.1958220e+00   2.2965800e+04   0.0000000e+00
  -8.6273840e-01  -2.1684404e+00   2.2965800e+04   0.0000000e+00
  -8.5286600e-01  -2.1407457e+00   2.2962800e+04   0.0000000e+00
  -8.4300430e-01  -2.1131914e+00   2.2965800e+04   0.0000000e+00
  -8.3309950e-01  -2.0863285e+00   2.2965800e+04   0.0000000e+00
  -8.2327000e-01  -2.0588607e+00   2.2968700e+04   0.0000000e+00
  -8.1306270e-01  -2.0301830e+00   2.2971700e+04   0.0000000e+00
  -8.0321190e-01  -2.0023047e+00   2.2971700e+04   0.0000000e+00
  -7.9338260e-01  -1.9748258e+00   2.2974700e+04   0.0000000e+00
  -7.8348860e-01  -1.9468287e+00   2.2974700e+04   0.0000000e+00
  -7.7365930e-01  -1.9193932e+00   2.2974700e+04   0.0000000e+00
  -7.6381930e-01  -1.8918497e+00   2.2974700e+04   0.0000000e+00
  -7.5352560e-01  -1.8630642e+00   2.2974700e+04   0.0000000e+00
  -7.4375040e-01  -1.8355099e+00   2.2974700e+04   0.0000000e+00
  -7.3393190e-01  -1.8077288e+00   2.2977700e+04   0.0000000e+00
  -7.2403790e-01  -1.7799693e+00   2.2977700e+04   0.0000000e+00
  -7.1420860e-01  -1.7525876e+00   2.2980700e+04   0.0000000e+00
  -7.0428220e-01  -1.7244933e+00   2.2980700e+04   0.0000000e+00
  -6.9413970e-01  -1.6959993e+00   2.2983600e+04   0.0000000e+00
  -6.8419160e-01  -1.6684559e+00   2.2986600e+04   0.0000000e+00
  -6.7436240e-01  -1.6408800e+00   2.2989600e+04   0.0000000e+00
  -6.6447910e-01  -1.6131097e+00   2.2989600e+04   0.0000000e+00
  -6.5461750e-01  -1.5851234e+00   2.2989600e+04   0.0000000e+00
  -6.4478820e-01  -1.5575906e+00   2.2992600e+04   0.0000000e+00
  -6.3455930e-01  -1.5286861e+00   2.2992600e+04   0.0000000e+00
  -6.2476250e-01  -1.5012074e+00   2.2995600e+04   0.0000000e+00
  -6.1494390e-01  -1.4735235e+00   2.2998500e+04   0.0000000e+00
  -6.0508220e-01  -1.4457532e+00   2.2998500e+04   0.0000000e+00
  -5.9523140e-01  -1.4177885e+00   2.3001500e+04   0.0000000e+00
  -5.8508890e-01  -1.3889921e+00   2.3001500e+04   0.0000000e+00
  -5.7513000e-01  -1.3609517e+00   2.3004500e+04   0.0000000e+00
  -5.6518200e-01  -1.3327708e+00   2.3007500e+04   0.0000000e+00
  -5.5526630e-01  -1.3046981e+00   2.3007500e+04   0.0000000e+00
  -5.4533990e-01  -1.2766037e+00   2.3007500e+04   0.0000000e+00
  -5.3543500e-01  -1.2482284e+00   2.3007500e+04   0.0000000e+00
  -5.2549780e-01  -1.2200476e+00   2.3010500e+04   0.0000000e+00
  -5.1558220e-01  -1.1919424e+00   2.3013400e+04   0.0000000e+00
  -5.0566650e-01  -1.1635564e+00   2.3013400e+04   0.0000000e+00
  -4.9576170e-01  -1.1351490e+00   2.3016400e+04   0.0000000e+00
  -4.8585680e-01  -1.1067090e+00   2.3016400e+04   0.0000000e+00
  -4.7595200e-01  -1.0781933e+00   2.3019400e+04   0.0000000e+00
  -4.6602550e-01  -1.0495481e+00   2.3019400e+04   0.0000000e+00
  -4.5610990e-01  -1.0208811e+00   2.3022400e+04   0.0000000e+00
  -4.4620500e-01  -9.9247350e-01   2.3022400e+04   0.0000000e+00
  -4.3628940e-01  -9.6327740e-01   2.3022400e+04   0.0000000e+00
  -4.2635210e-01  -9.3463230e-01   2.3025400e+04   0.0000000e+00
  -4.1645810e-01  -9.0574940e-01   2.3028300e+04   0.0000000e+00
  -4.0656380e-01  -8.7699620e-01   2.3028300e+04   0.0000000e+00
  -3.9662660e-01  -8.4796210e-01   2.3031300e+04   0.0000000e+00
  -3.8672170e-01  -8.1872260e-01   2.3031300e+04   0.0000000e+00
  -3.7679520e-01  -7.8914850e-01   2.3031300e+04   0.0000000e+00
  -3.6689040e-01  -7.6004960e-01   2.3034300e+04   0.0000000e+00
  -3.5699630e-01  -7.3069150e-01   2.3037300e+04   0.0000000e+00
  -3.4705910e-01  -7.0117140e-01   2.3037300e+04   0.0000000e+00
  -3.3715420e-01  -6.7081950e-01   2.3037300e+04   0.0000000e+00
  -3.2724940e-01  -6.4101860e-01   2.3040300e+04   0.0000000e+00
  -3.1732290e-01  -6.1089340e-01   2.3043200e+04   0.0000000e+00
  -3.0742890e-01  -5.8040110e-01   2.3043200e+04   0.0000000e+00
  -2.9750240e-01  -5.5002770e-01   2.3043200e+04   0.0000000e+00
  -2.8758680e-01  -5.1921140e-01   2.3046200e+04   0.0000000e+00
  -2.7767110e-01  -4.8793070e-01   2.3046200e+04   0.0000000e+00
  -2.6775550e-01  -4.5662830e-01   2.3046200e+04   0.0000000e+00
  -2.5783980e-01  -4.2490470e-01   2.3049200e+04   0.0000000e+00
  -2.4791340e-01  -3.9319170e-01   2.3049200e+04   0.0000000e+00
  -2.3799770e-01  -3.5986950e-01   2.3049200e+04   0.0000000e+00
  -2.2808200e-01  -3.2677410e-01   2.3052200e+04   0.0000000e+00
  -2.1817720e-01  -2.9267420e-01   2.3055200e+04   0.0000000e+00
  -2.0825070e-01  -2.5759140e-01   2.3055200e+04   0.0000000e+00
  -1.9834570e-01  -2.2063990e-01   2.3055200e+04   0.0000000e+00
  -1.8841920e-01  -1.8210040e-01   2.3055200e+04   0.0000000e+00
  -1.7852520e-01  -1.4000750e-01   2.3058100e+04   0.0000000e+00
  -1.6858790e-01  -9.4911600e-02   2.3061100e+04   0.0000000e+00
  -1.5868310e-01  -5.1662900e-02   2.3061100e+04   0.0000000e+00
  -1.4877820e-01  -2.3633400e-02   2.3061100e+04   0.0000000e+00
  -1.3884100e-01  -1.1481900e-02   2.3064100e+04   0.0000000e+00
  -1.2891450e-01  -6.2108000e-03   2.3064100e+04   0.0000000e+00
  -1.1900970e-01  -3.1000000e-03   2.3067100e+04   0.0000000e+00
  -1.0911560e-01  -1.2962000e-03   2.3070100e+04   0.0000000e+00
  -9.9178300e-02  -3.4560000e-04   2.3070100e+04   0.0000000e+00
  -8.9262500e-02   1.6200000e-04   2.3070100e+04   0.0000000e+00
  -7.9346800e-02   4.2130000e-04   2.3073100e+04   0.0000000e+00
  -6.9420400e-02   5.1850000e-04   2.3073100e+04   0.0000000e+00
  -5.9493900e-02   5.4010000e-04   2.3076000e+04   0.0000000e+00
  -4.9589100e-02   5.2930000e-04   2.3076000e+04   0.0000000e+00
  -3.9673400e-02   5.7250000e-04   2.3076000e+04   0.0000000e+00
  -2.9747000e-02   6.1570000e-04   2.3079000e+04   0.0000000e+00
  -1.9852900e-02   6.2650000e-04   2.3082000e+04   0.0000000e+00
  -9.9373000e-03   9.9370000e-04   2.3085000e+04   0.0000000e+00
  -3.2400000e-05   1.8362000e-03   2.3085000e+04   0.0000000e+00
   9.9049000e-03   2.9272000e-03   2.3088000e+04   0.0000000e+00
   1.9820500e-02   4.0937000e-03   2.3088000e+04   0.0000000e+00
   2.9725400e-02   6.5672000e-03   2.3088000e+04   0.0000000e+00
   3.9673400e-02   1.1147000e-02   2.3090900e+04   0.0000000e+00
   4.9589100e-02   2.1581100e-02   2.3090900e+04   0.0000000e+00
   5.9483100e-02   4.6359500e-02   2.3090900e+04   0.0000000e+00
   6.9377200e-02   8.8020300e-02   2.3093900e+04   0.0000000e+00
   7.9325200e-02   1.3352650e-01   2.3096900e+04   0.0000000e+00
   8.9230100e-02   1.7566260e-01   2.3099900e+04   0.0000000e+00
   9.9145700e-02   2.1504460e-01   2.3099900e+04   0.0000000e+00
   1.0907220e-01   2.5250370e-01   2.3102900e+04   0.0000000e+00
   1.1899860e-01   2.8820220e-01   2.3105800e+04   0.0000000e+00
   1.2889270e-01   3.2298260e-01   2.3105800e+04   0.0000000e+00
   1.3880840e-01   3.5654250e-01   2.3108800e+04   0.0000000e+00
   1.4874560e-01   3.8984310e-01   2.3108800e+04   0.0000000e+00
   1.5862890e-01   4.2239860e-01   2.3111800e+04   0.0000000e+00
   1.6856610e-01   4.5462990e-01   2.3111800e+04   0.0000000e+00
   1.7849260e-01   4.8629950e-01   2.3111800e+04   0.0000000e+00
   1.8840820e-01   5.1741820e-01   2.3114800e+04   0.0000000e+00
   1.9831310e-01   5.4805100e-01   2.3114800e+04   0.0000000e+00
   2.0822870e-01   5.7866210e-01   2.3117800e+04   0.0000000e+00
   2.1816620e-01   6.0920830e-01   2.3117800e+04   0.0000000e+00
   2.2807100e-01   6.3926870e-01   2.3117800e+04   0.0000000e+00
   2.3798670e-01   6.6910210e-01   2.3120700e+04   0.0000000e+00
   2.4789150e-01   6.9897870e-01   2.3120700e+04   0.0000000e+00
   2.5782880e-01   7.2889850e-01   2.3120700e+04   0.0000000e+00
   2.6772290e-01   7.5804060e-01   2.3120700e+04   0.0000000e+00
   2.7763850e-01   7.8789550e-01   2.3120700e+04   0.0000000e+00
   2.8757580e-01   8.1751290e-01   2.3123700e+04   0.0000000e+00
   2.9748060e-01   8.4661200e-01   2.3126700e+04   0.0000000e+00
   3.0738550e-01   8.7574320e-01   2.3126700e+04   0.0000000e+00
   3.1730110e-01   9.0485290e-01   2.3129700e+04   0.0000000e+00
   3.2722760e-01   9.3410300e-01   2.3129700e+04   0.0000000e+00
   3.3711080e-01   9.6318040e-01   2.3129700e+04   0.0000000e+00
   3.4703730e-01   9.9234410e-01   2.3132700e+04   0.0000000e+00
   3.5696370e-01   1.0215402e+00   2.3132700e+04   0.0000000e+00
   3.6686860e-01   1.0508337e+00   2.3135600e+04   0.0000000e+00
   3.7678420e-01   1.0797489e+00   2.3135600e+04   0.0000000e+00
   3.8668910e-01   1.1086966e+00   2.3138600e+04   0.0000000e+00
   3.9661560e-01   1.1372230e+00   2.3138600e+04   0.0000000e+00
   4.0653120e-01   1.1658575e+00   2.3141600e+04   0.0000000e+00
   4.1642530e-01   1.1943191e+00   2.3141600e+04   0.0000000e+00
   4.2633030e-01   1.2229104e+00   2.3144600e+04   0.0000000e+00
   4.3625680e-01   1.2514368e+00   2.3144600e+04   0.0000000e+00
   4.4616160e-01   1.2802010e+00   2.3147600e+04   0.0000000e+00
   4.5605570e-01   1.3086194e+00   2.3147600e+04   0.0000000e+00
   4.6599290e-01   1.3365949e+00   2.3147600e+04   0.0000000e+00
   4.7588700e-01   1.3650568e+00   2.3150500e+04   0.0000000e+00
   4.8578100e-01   1.3929568e+00   2.3153500e+04   0.0000000e+00
   4.9567510e-01   1.4215588e+00   2.3153500e+04   0.0000000e+00
   5.0561230e-01   1.4498367e+00   2.3156500e+04   0.0000000e+00
   5.1552800e-01   1.4782335e+00   2.3156500e+04   0.0000000e+00
   5.2542210e-01   1.5060903e+00   2.3159500e+04   0.0000000e+00
   5.3533780e-01   1.5344871e+00   2.3159500e+04   0.0000000e+00
   5.4522100e-01   1.5624086e+00   2.3159500e+04   0.0000000e+00
   5.5511510e-01   1.5904924e+00   2.3159500e+04   0.0000000e+00
   5.6502000e-01   1.6188136e+00   2.3162500e+04   0.0000000e+00
   5.7494640e-01   1.6462167e+00   2.3162500e+04   0.0000000e+00
   5.8482970e-01   1.6739114e+00   2.3162500e+04   0.0000000e+00
   5.9472370e-01   1.7021787e+00   2.3165400e+04   0.0000000e+00
   6.0465020e-01   1.7302082e+00   2.3165400e+04   0.0000000e+00
   6.1455500e-01   1.7583782e+00   2.3168400e+04   0.0000000e+00
   6.2443830e-01   1.7865159e+00   2.3168400e+04   0.0000000e+00
   6.3434330e-01   1.8146319e+00   2.3171400e+04   0.0000000e+00
   6.4480980e-01   1.8441736e+00   2.3171400e+04   0.0000000e+00
   6.5467150e-01   1.8721924e+00   2.3174400e+04   0.0000000e+00
   6.6446830e-01   1.9002976e+00   2.3174400e+04   0.0000000e+00
   6.7430840e-01   1.9280463e+00   2.3177400e+04   0.0000000e+00
   6.8411600e-01   1.9559571e+00   2.3177400e+04   0.0000000e+00
   6.9396690e-01   1.9837382e+00   2.3177400e+04   0.0000000e+00
   7.0414170e-01   2.0124269e+00   2.3180300e+04   0.0000000e+00
   7.1390620e-01   2.0403916e+00   2.3180300e+04   0.0000000e+00
   7.2380020e-01   2.0682808e+00   2.3180300e+04   0.0000000e+00
   7.3364030e-01   2.0961159e+00   2.3180300e+04   0.0000000e+00
   7.4345870e-01   2.1239403e+00   2.3180300e+04   0.0000000e+00
   7.5335280e-01   2.1518942e+00   2.3183300e+04   0.0000000e+00
   7.6358170e-01   2.1806367e+00   2.3183300e+04   0.0000000e+00
   7.7343250e-01   2.2084614e+00   2.3183300e+04   0.0000000e+00
   7.8328340e-01   2.2361561e+00   2.3186300e+04   0.0000000e+00
   7.9322060e-01   2.2641100e+00   2.3186300e+04   0.0000000e+00
   8.0303910e-01   2.2917507e+00   2.3186300e+04   0.0000000e+00
   8.1294390e-01   2.3195319e+00   2.3189300e+04   0.0000000e+00
   8.2300000e-01   2.3481772e+00   2.3189300e+04   0.0000000e+00
   8.3286160e-01   2.3756342e+00   2.3192300e+04   0.0000000e+00
   8.4273430e-01   2.4035234e+00   2.3195200e+04   0.0000000e+00
   8.5258510e-01   2.4312938e+00   2.3198200e+04   0.0000000e+00
   8.6242520e-01   2.4590533e+00   2.3198200e+04   0.0000000e+00
   8.7229760e-01   2.4868128e+00   2.3201200e+04   0.0000000e+00
   8.8249410e-01   2.5154148e+00   2.3201200e+04   0.0000000e+00
   8.9233410e-01   2.5430666e+00   2.3201200e+04   0.0000000e+00
   9.0220660e-01   2.5708477e+00   2.3204200e+04   0.0000000e+00
   9.1204660e-01   2.5988341e+00   2.3204200e+04   0.0000000e+00
   9.2191910e-01   2.6265073e+00   2.3204200e+04   0.0000000e+00
   9.3184550e-01   2.6542344e+00   2.3204200e+04   0.0000000e+00
