   4.0100000e+02   4.0000000e-03   1.0000000e-07
  -9.9181460e-01  -2.5496098e+00   2.8500100e+04   0.0000000e+00
  -9.8684600e-01  -2.5353520e+00   2.8503100e+04   0.0000000e+00
  -9.8196380e-01  -2.5218287e+00   2.8503100e+04   0.0000000e+00
  -9.7696270e-01  -2.5081973e+00   2.8503100e+04   0.0000000e+00
  -9.7202650e-01  -2.4945768e+00   2.8503100e+04   0.0000000e+00
  -9.6710110e-01  -2.4808806e+00   2.8503100e+04   0.0000000e+00
  -9.6216490e-01  -2.4669685e+00   2.8503100e+04   0.0000000e+00
  -9.5723950e-01  -2.4532399e+00   2.8503100e+04   0.0000000e+00
  -9.5232480e-01  -2.4396194e+00   2.8503100e+04   0.0000000e+00
  -9.4741020e-01  -2.4260637e+00   2.8503100e+04   0.0000000e+00
  -9.4247400e-01  -2.4124216e+00   2.8506100e+04   0.0000000e+00
  -9.3755940e-01  -2.3987363e+00   2.8506100e+04   0.0000000e+00
  -9.3231000e-01  -2.3844893e+00   2.8506100e+04   0.0000000e+00
  -9.2733060e-01  -2.3707176e+00   2.8506100e+04   0.0000000e+00
  -9.2241590e-01  -2.3570107e+00   2.8506100e+04   0.0000000e+00
  -9.1750130e-01  -2.3432713e+00   2.8506100e+04   0.0000000e+00
  -9.1253270e-01  -2.3294240e+00   2.8506100e+04   0.0000000e+00
  -9.0760730e-01  -2.3155118e+00   2.8506100e+04   0.0000000e+00
  -9.0267110e-01  -2.3017617e+00   2.8506100e+04   0.0000000e+00
  -8.9776720e-01  -2.2880548e+00   2.8506100e+04   0.0000000e+00
  -8.9282020e-01  -2.2746071e+00   2.8509100e+04   0.0000000e+00
  -8.8792720e-01  -2.2607814e+00   2.8509100e+04   0.0000000e+00
  -8.8298020e-01  -2.2468476e+00   2.8509100e+04   0.0000000e+00
  -8.7804390e-01  -2.2335296e+00   2.8509100e+04   0.0000000e+00
  -8.7276210e-01  -2.2183320e+00   2.8509100e+04   0.0000000e+00
  -8.6785830e-01  -2.2044847e+00   2.8509100e+04   0.0000000e+00
  -8.6295440e-01  -2.1908749e+00   2.8509100e+04   0.0000000e+00
  -8.5805060e-01  -2.1772219e+00   2.8509100e+04   0.0000000e+00
  -8.5308200e-01  -2.1633638e+00   2.8509100e+04   0.0000000e+00
  -8.4815660e-01  -2.1498729e+00   2.8509100e+04   0.0000000e+00
  -8.4323110e-01  -2.1360903e+00   2.8509100e+04   0.0000000e+00
  -8.3832730e-01  -2.1225670e+00   2.8509100e+04   0.0000000e+00
  -8.3330470e-01  -2.1085793e+00   2.8509100e+04   0.0000000e+00
  -8.2836830e-01  -2.0948075e+00   2.8509100e+04   0.0000000e+00
  -8.2346440e-01  -2.0813383e+00   2.8509100e+04   0.0000000e+00
  -8.1822580e-01  -2.0667241e+00   2.8506100e+04   0.0000000e+00
  -8.1325710e-01  -2.0529307e+00   2.8506100e+04   0.0000000e+00
  -8.0837490e-01  -2.0393966e+00   2.8506100e+04   0.0000000e+00
  -8.0341710e-01  -2.0256465e+00   2.8506100e+04   0.0000000e+00
  -7.9849170e-01  -2.0119827e+00   2.8506100e+04   0.0000000e+00
  -7.9359870e-01  -1.9982218e+00   2.8506100e+04   0.0000000e+00
